"id","s","birthDate","deathDate"
20667909,"http://dbpedia.org/resource/Balwantrai_Bhatt",1921-09-23,2016-05-02
12049811,"http://dbpedia.org/resource/Bana_(singer)",1932-03-05,2013-07-13
65633696,"http://dbpedia.org/resource/Banashree_Sengupta",1945-05-06,2017-02-19
36674207,"http://dbpedia.org/resource/Bangalore_Nagarathnamma",1878-11-03,1952-05-19
8221905,"http://dbpedia.org/resource/Bantcho_Bantchevsky",1906-05-05,1988-01-23
1867252,"http://dbpedia.org/resource/Barbara_Acklin",1943-02-28,1998-11-27
6864922,"http://dbpedia.org/resource/Barbara_Carroll",1925-01-25,2017-02-12
858382,"http://dbpedia.org/resource/Barbara_Cook",1927-10-25,2017-08-08
39848440,"http://dbpedia.org/resource/Barbara_Ess",1944-04-04,2021-03-04
52766321,"http://dbpedia.org/resource/Barbara_Fei",1931-07-08,2017-01-02
19982029,"http://dbpedia.org/resource/Barbara_Ingram",1947-11-25,1994-10-20
8434756,"http://dbpedia.org/resource/Barbara_Lea",1929-04-10,2011-12-26
11439707,"http://dbpedia.org/resource/Barbara_Lyon",1931-09-09,1995-07-10
2578627,"http://dbpedia.org/resource/Barbara_Martin_(singer)",1943-06-16,2020-03-04
8317661,"http://dbpedia.org/resource/Barbara_McNair",1934-03-04,2007-02-04
4893099,"http://dbpedia.org/resource/Barbara_Pittman",1938-04-06,2005-10-29
28181409,"http://dbpedia.org/resource/Barbara_Randolph",1942-05-05,2002-07-15
45244678,"http://dbpedia.org/resource/Barbara_Robison",1945-10-14,1988-04-22
45696542,"http://dbpedia.org/resource/Barbara_Robotham",1936-01-15,2013-07-01
47422318,"http://dbpedia.org/resource/Barbarito_Díez",1909-12-04,1995-05-06
2659434,"http://dbpedia.org/resource/Barbecue_Bob",1902-09-11,1931-10-21
66528041,"http://dbpedia.org/resource/Barclay_Gammon",1866-11-01,1915-06-02
424447,"http://dbpedia.org/resource/Bardu_Ali",1906-09-23,1981-10-29
36370200,"http://dbpedia.org/resource/Bari_Nizami",1937-12-26,1998-05-14
15012292,"http://dbpedia.org/resource/Barin_Mazumder",1921-02-15,2000-03-03
18007309,"http://dbpedia.org/resource/Barkat_Sidhu",1946-09-18,2014-08-17
28290579,"http://dbpedia.org/resource/Barkin'_Bill_Smith",1928-08-18,2000-04-24
58292651,"http://dbpedia.org/resource/Barnabás_von_Géczy",1897-03-04,1971-07-02
171340,"http://dbpedia.org/resource/Barney_Bigard",1906-03-03,1980-06-27
28137440,"http://dbpedia.org/resource/Barney_James",1944-11-11,2016-03-29
457910,"http://dbpedia.org/resource/Barney_Kessel",1923-10-17,2004-05-06
1230968,"http://dbpedia.org/resource/Barney_McKenna",1939-12-16,2012-04-05
22382194,"http://dbpedia.org/resource/Barney_Rapp",1900-03-25,1970-10-12
7188757,"http://dbpedia.org/resource/Barney_Wilen",1937-03-04,1996-05-25
9587853,"http://dbpedia.org/resource/Barno_Itzhakova",1927-05-12,2001-09-07
67169969,"http://dbpedia.org/resource/Barrelhouse_Buck_McFarland",1903-09-16,1962-04-08
20919552,"http://dbpedia.org/resource/Barry_Allen_(musician)",1945-07-29,2020-04-04
14336783,"http://dbpedia.org/resource/Barry_Beckett",1943-02-04,2009-06-10
16225136,"http://dbpedia.org/resource/Barry_Galbraith",1919-12-18,1983-01-13
229092,"http://dbpedia.org/resource/Barry_Gray",1908-07-18,1984-04-26
1985162,"http://dbpedia.org/resource/Barry_Mason",1935-07-12,2021-04-16
7565881,"http://dbpedia.org/resource/Barry_Rogers",1935-05-22,1991-04-18
16789881,"http://dbpedia.org/resource/Barbara_Carr",1941-01-09,
997580,"http://dbpedia.org/resource/Barbara_Dane",1927-05-12,
606115,"http://dbpedia.org/resource/Barbara_Dickson",1947-09-27,
30044590,"http://dbpedia.org/resource/Barbara_Giuranna",1899-11-18,
3846631,"http://dbpedia.org/resource/Barbara_Lewis",1943-02-09,
30695448,"http://dbpedia.org/resource/Barbara_Lister-Sink",1947-01-18,
3847735,"http://dbpedia.org/resource/Barbara_Lynn",1942-01-16,
8303521,"http://dbpedia.org/resource/Barbara_Ployer",1765-09-02,
28961795,"http://dbpedia.org/resource/Barbara_Scherler",1933-01-20,
6358452,"http://dbpedia.org/resource/Barbara_Thompson_(musician)",1944-07-27,
72336,"http://dbpedia.org/resource/Barbra_Streisand",1942-04-24,
2802656,"http://dbpedia.org/resource/Barre_Phillips",1934-10-27,
1422430,"http://dbpedia.org/resource/Barrett_Strong",1941-02-05,
39379684,"http://dbpedia.org/resource/Barry_%22Reazar%22_Richards",1946-11-23,
1339735,"http://dbpedia.org/resource/Barry_Altschul",1943-01-06,
13259841,"http://dbpedia.org/resource/Barry_De_Vorzon",1934-07-31,
168335,"http://dbpedia.org/resource/Barry_Gibb",1946-09-01,
2327486,"http://dbpedia.org/resource/Barry_Goldberg",1942-12-25,
3290895,"http://dbpedia.org/resource/Barry_Guy",1947-04-22,
1575092,"http://dbpedia.org/resource/Barry_Hankerson",1947-08-03,
2524768,"http://dbpedia.org/resource/Barry_Harris",1929-12-15,
526538,"http://dbpedia.org/resource/Barry_Manilow",1943-06-17,
1060654,"http://dbpedia.org/resource/Barry_Mann",1939-02-09,
411924,"http://dbpedia.org/resource/Barry_McGuire",1935-10-15,
1174834,"http://dbpedia.org/resource/Barry_Melton",1947-06-14,
29284808,"http://dbpedia.org/resource/Barry_Miles_(musician)",1947-03-28,
4992359,"http://dbpedia.org/resource/Barry_Stanton",1941-01-23,2018-01-21
2458926,"http://dbpedia.org/resource/Barry_Tuckwell",1931-03-05,2020-01-16
56386,"http://dbpedia.org/resource/Barry_White",1944-09-12,2003-07-04
23058275,"http://dbpedia.org/resource/Barry_Wood_(singer)",1909-02-12,1970-07-19
18136946,"http://dbpedia.org/resource/Barry_Young_(musician)",1931-06-27,1966-12-02
14221108,"http://dbpedia.org/resource/Barton_McGuckin",1852-07-28,1913-04-17
4836,"http://dbpedia.org/resource/Barış_Manço",1943-01-02,1999-02-01
24295307,"http://dbpedia.org/resource/Bas_Sheva",1925-07-25,1960-02-11
13647362,"http://dbpedia.org/resource/Bashful_Brother_Oswald",1911-12-26,2002-10-17
28200887,"http://dbpedia.org/resource/Bashir_Ahmad_(singer)",1939-11-18,2014-04-19
556909,"http://dbpedia.org/resource/Basil_Coetzee",1944-02-02,1998-03-11
1455460,"http://dbpedia.org/resource/Basil_Harwood",1859-04-11,1949-04-03
645278,"http://dbpedia.org/resource/Basil_Poledouris",1945-08-21,2006-11-08
39815507,"http://dbpedia.org/resource/Basilio_Kaczurak",1919-02-07,1987-02-07
10937833,"http://dbpedia.org/resource/Bea_Booze",1912-03-23,1986-11-11
2841541,"http://dbpedia.org/resource/Bea_Wain",1917-04-30,2017-08-19
4453162,"http://dbpedia.org/resource/Beatrice_Kay",1907-04-21,1986-11-08
45601599,"http://dbpedia.org/resource/Beba_Bidart",1924-04-03,1994-08-27
13103905,"http://dbpedia.org/resource/Beba_Selimović",1936-03-27,2020-03-10
3378943,"http://dbpedia.org/resource/Bebo_Valdés",1918-10-09,2013-03-22
2880356,"http://dbpedia.org/resource/Bebu_Silvetti",1944-03-27,2003-07-05
18224767,"http://dbpedia.org/resource/Bee_Palmer",1894-09-11,1967-12-22
42476797,"http://dbpedia.org/resource/Beebe_Freitas",1938-08-28,2018-02-17
1422252,"http://dbpedia.org/resource/Begum_Akhtar",1914-10-07,1974-10-30
55706759,"http://dbpedia.org/resource/Behiye_Aksoy",1933-09-19,2015-05-31
24091431,"http://dbpedia.org/resource/Belchior_(singer)",1946-10-26,2017-04-30
6944744,"http://dbpedia.org/resource/Belle_Baker",1893-12-25,1957-04-29
13047482,"http://dbpedia.org/resource/Belle_Stewart",1906-07-18,1997-09-04
31224815,"http://dbpedia.org/resource/Belton_Richard",1939-10-05,2017-06-21
3327664,"http://dbpedia.org/resource/Ben_Bernie",1891-05-30,1943-10-23
8533255,"http://dbpedia.org/resource/Ben_Cauley",1947-10-03,2015-09-21
29456698,"http://dbpedia.org/resource/Ben_Dixon_(musician)",1934-12-25,2018-11-08
363631,"http://dbpedia.org/resource/Ben_E._King",1938-09-28,2015-04-30
5027972,"http://dbpedia.org/resource/Ben_Keith",1937-03-06,2010-07-26
56777605,"http://dbpedia.org/resource/Ben_Kynard",1920-02-28,2012-07-05
28932933,"http://dbpedia.org/resource/Ben_Peters",1933-06-20,2005-05-25
537954,"http://dbpedia.org/resource/Ben_Pollack",1903-06-22,1971-06-07
47903729,"http://dbpedia.org/resource/Ben_Riley",1933-07-17,2017-11-18
41770085,"http://dbpedia.org/resource/Ben_Speer",1930-06-26,2017-04-07
